feature,score
loan_time,71
browser_data_min,59
Z_411,47
browse_count_time_lt,43
A_7,43
browse_count_mean,38
sex,36
browse_count_var,36
stg9_repay_sub_now_mean,35
stg9_time_mean,33
stg7_pre_amount_of_bill_max,32
stg2_repay_sub_now_mean,32
browse_count_mean_lt,31
stg9_time_min,30
browse_count_min,30
skewnesslastRefundminRefundGap,30
stg5_amount_of_bill_left_std,30
avgCreditAge,29
stg8_repay_sub_min,29
A_0,29
browse_count_min_lt,28
browse_count_std_lt,28
A_4,28
browse_count_median_lt,28
stg7_repay_sub_mean,28
stg5_repay_sub_mean_t5,28
stg5_amount_of_bill_left_max,27
stg5_amount_of_bill_left_mean,27
consume_amount_amount_of_bill_left_0_max,27
browser_data_std,27
stg10_repay_sub_now_mean,27
stg1_repay_sub_std,27
stg5_browse_count_min,27
edu,27
consume_amount_repay_sub_1_max,27
repay_sub_repay_sub_now_0_min,27
A_37,27
stg10_repay_sub_mean,26
consume_amount_repay_sub_now_1_max,25
browse_count_std,25
pre_repayment_repay_sub_now_0_max,25
mincreditlimitUseGapLast,25
browse_count_median,25
stg8_time_mean,25
skewnesscashBalRate,25
stg1_repay_sub_max_t5_all,25
repay_sub_now_amount_of_bill_left_0_max,25
stg8_repay_sub_max,24
stg9_pre_amount_of_bill_std,24
stg1_credit_amount_mean_t5_all,24
meanlastRefundminRefundGap,24
newOpeccountAge,24
stg9_repay_sub_now_max,24
stg5_amount_of_bill_left_min,24
browse_count_max,24
stg3_consume_amount_mean_t5_all,23
stg3_browser_data_min,23
stg1_examount_1_mean,23
stg3_pre_repayment_min,23
stg2_repay_sub_now_max,23
mean_overdraft_this_adjust,23
consume_amount_repay_sub_now_0_min,23
credit_amount_repay_sub_now_2_max,23
pre_amount_of_bill_repay_sub_1_max,23
stg2_amount_of_bill_left_mean,23
stg5_repay_sub_mean_t5_all,23
consume_amount_repay_sub_2_max,23
consume_amount_repay_sub_now_2_min,23
stg7_examount_0_mean,23
A_3,23
stg4_browse_count_min,23
Z_2320,23
repay_sub_now_std,22
A_50,22
A_58,22
pre_amount_of_bill_repay_sub_now_2_min,22
stg2_browser_data_min,22
stg9_repay_sub_now_std,22
consume_amount_repay_sub_1_min,22
pre_amount_of_bill_pre_repayment_0_max,22
browse_count_min_gt,22
stg9_repay_sub_now_min,22
pre_amount_of_bill_repay_sub_now_0_max,21
stg6_pre_repayment_max,21
credit_time_min,21
minlastRefundminRefundGap,21
amount_of_bill_left_repay_sub_0_max,21
A_42,21
stg5_amount_per_n_mean_t5_all,21
stg1_repay_sub_max,21
stg2_repay_sub_now_min,21
pre_amount_of_bill_repay_sub_now_1_max,21
consume_amount_repay_sub_0_min,21
A_78,21
maxlastRefundminRefundRate,21
repay_sub_repay_sub_now_2_max,21
credit_amount_repay_sub_now_0_max,21
credit_amount_amount_of_bill_left_0_min,21
stg1_repay_sub_min,21
A_35,21
stg5_consume_amount_mean_t5_all,20
credit_amount_repay_sub_0_max,20
credit_amount_repay_sub_now_1_min,20
stg8_pre_repayment_mean,20
stg4_browser_data_min,20
A_93,20
mincashBalRate,20
meancashBalRate,20
A_10,20
stg5_examount0_min,20
pre_repaymentstg_max_max_min_all,20
Z_410,20
A_75,20
repay_sub_amount_of_bill_left_0_min,20
stg10_repay_sub_std,20
stg3_repay_sub_max_min_t5_all,20
stg9_examount_a_min,20
browser_data_count,20
stg9_amount_of_bill_left_mean,20
maxCreditlimitUseRateLast,20
stg5_pre_repayment_var_t5,20
repay_sub_amount_of_bill_left_2_min,20
amount_of_bill_left_repay_sub_now_2_max,20
stg1_browser_data_min,19
stg5_pre_repayment_mean_t5_all,19
mean_overdraft_now,19
stg5_pre_amount_of_bill_mean_t5_all,19
stg4_examount0_median,19
amount_of_bill_left_repay_sub_now_0_max,19
stg3_repay_sub_max_t5_all,19
pre_repayment_repay_sub_1_max,19
repay_sub_now_repay_sub_1_max,19
stg7_repay_sub_max,19
stg5_pre_repayment_std,19
stg8_pre_repayment_min,19
maxcashBalRate,19
stg7_pre_amount_of_bill_mean,19
amount_of_bill_left_repay_sub_now_1_min,19
stg4_time_min,19
stg10_repay_sub_now_std,19
A_1,19
A_8,19
stg8_pre_repayment_std,19
stg9_time_max,19
stg4_examount0_mean,19
A_34,19
pre_repaymentstg_max_mean_all,19
stg8_pre_repayment_max,19
stg7_repay_sub_min,19
stg10_repay_sub_max,18
varlastRefundminRefundGap,18
stg5_amount_of_bill_left_max_min_t5_all,18
consume_amount_amount_of_bill_left_2_min,18
stg5_pre_amount_of_bill_max_min_t5_all,18
Z_2282,18
repay_sub_repay_sub_now_1_max,18
A_113,18
kurtosislastRefundminRefundRate,18
stg10_repay_sub_now_min,18
A_101,18
repay_sub_repay_sub_now_0_max,18
stg4_pre_amount_of_bill_mean,18
A_74,18
skewnesscreditlimitUseGap,18
kurtosislastRefundminRefundGap,18
stg5_repay_sub_var_t5,18
browse_count_time_gt,18
stg4_pre_amount_of_bill_max_min_t5_all,18
A_2,18
maxlastRefundminRefundGap,18
A_24,18
meanCreditlimitUseRate,18
stg3_credit_amount_mean_t5_all,18
repay_sub_amount_of_bill_left_1_max,18
stg4_repay_sub_max_t5_all,18
stg9_amount_of_bill_left_max,18
stg5_examount0_median,18
repay_sub_now_mean,17
maxCreditlimitUseRate,17
stg1_pre_amount_of_bill_mean_t5_all,17
stg2_amount_of_bill_left_mean_t5_all,17
pre_repayment_amount_of_bill_left_0_min,17
skewnessCreditlimitUseRateLast,17
stg5_amount_of_bill_left_min_t5,17
varcreditlimitUseGap,17
pre_amount_of_bill_amount_of_bill_left_2_max,17
credit_amount_repay_sub_2_min,17
stg2_amount_per_n_std_t5,17
stg1_pre_repayment_std_t5,17
Z_31,17
stg2_amount_of_bill_left_max,17
stg2_amount_of_bill_left_min_t5,17
skewnessCreditlimitUseRate,17
stg9_amount_of_bill_left_min,17
stg5_pre_repayment_mean,17
A_43,17
skewnesscashLimRate,17
repay_substg_max_mean_all,17
stg2_credit_amount_mean_t5_all,17
A_53,17
amount_of_bill_leftstg_max_min_all,17
examount0time_max,17
amount_of_bill_left_repay_sub_now_2_min,17
stg2_repay_sub_now_std,17
minlastRefundGap,17
browse_count_count,17
stg2_browse_count_std,17
maxcreditlimitUseGap,17
stg3_pre_repayment_mean_t5_all,17
credit_amount_repay_sub_2_max,17
credit_amount_amount_of_bill_left_2_min,17
consume_amount_repay_sub_now_0_max,17
pre_repayment_repay_sub_now_1_max,17
pre_repayment_pre_amount_of_bill_2_max,17
pre_repayment_amount_of_bill_left_2_max,17
stg3_pre_repayment_mean,17
browse_count_var_lt,17
amount_per_n_mean_all,17
stg4_repay_sub_mean_t5_all,17
stg1_amount_of_bill_left_min_t5,17
A_31,17
stg1_amount_of_bill_left_mean_t5_all,17
repay_sub_now_repay_sub_2_min,17
varcashBalRate,17
A_231,17
stg5_repay_sub_min_t5,17
stg9_amount_of_bill_left_std,17
stg3_pre_repayment_max_min_t5_all,17
stg5_pre_repayment_max_t5_all,16
consume_amount_amount_of_bill_left_0_min,16
pre_amount_of_bill_repay_sub_now_2_max,16
stg5_amount_of_bill_left_mean_t5_all,16
consume_amount_repay_sub_now_2_max,16
A_325,16
pre_amount_of_bill_amount_of_bill_left_0_min,16
A_80,16
stg6_time_mean,16
kurtosiscashBalRate,16
kurtosiscreditlimitUseGap,16
